meat_type,fat_content_pct,protein_pct,marbling_score,animal_age_months,storage_days,organic,cut_quality,price_eur_per_kg
2,32.4,25.1,1,64,13,1,4,18.77
3,13.0,23.8,1,14,11,0,5,28.02
3,7.6,25.7,8,52,6,0,3,26.71
5,9.0,16.1,7,56,13,1,1,31.73
3,5.0,21.5,8,10,20,1,3,28.29
3,6.0,17.8,7,63,19,1,2,23.93
1,4.4,21.0,5,50,19,1,5,15.66
1,34.7,18.5,6,26,4,1,4,15.59
2,4.4,18.1,8,35,12,0,2,17.31
5,6.4,21.3,4,36,8,0,4,32.66
5,29.3,17.0,10,66,20,0,4,30.64
4,21.1,20.2,9,69,19,0,4,26.86
4,27.6,22.2,9,58,18,1,2,24.58
2,22.8,16.4,10,47,3,1,3,22.23
1,31.1,25.2,4,9,6,0,1,6.23
1,23.1,20.6,2,66,14,0,3,11.05
2,19.2,24.0,5,11,15,0,2,10.74
2,25.5,22.2,8,13,7,0,3,18.98
1,16.8,22.8,8,6,2,0,5,21.47
2,13.4,22.9,4,68,2,0,5,19.1
1,17.4,24.6,3,36,14,1,3,18.52
4,7.6,21.7,5,18,9,0,4,26.08
5,28.3,18.1,9,7,10,1,1,32.81
4,10.6,16.1,1,30,17,0,3,22.26
3,7.1,21.7,4,52,0,0,4,22.91
3,10.1,15.7,3,71,15,1,4,23.76
2,29.8,17.7,9,40,5,1,5,25.08
1,12.9,15.7,5,44,19,0,3,9.82
3,24.6,21.0,1,60,20,0,5,22.8
3,30.3,16.8,3,65,10,0,5,22.92
1,4.6,21.7,1,21,6,0,3,14.01
3,27.2,23.7,5,71,4,1,1,19.12
2,12.2,24.0,10,38,3,0,2,19.97
1,9.1,18.4,6,67,20,0,4,10.52
4,24.7,21.0,9,10,3,0,3,28.16
3,32.0,21.2,8,8,9,0,5,30.59
4,11.7,20.2,9,63,10,0,5,31.54
4,20.8,22.2,4,49,14,0,1,21.9
5,11.6,17.3,10,14,17,1,5,39.52
5,20.3,25.8,3,64,11,0,2,28.75
4,22.5,16.1,5,9,15,0,5,26.45
